target_id	crown_1	opistosoma_1	trophosome_1	crown_2	opistosoma_2	trophosome_2
OALVG00000000190.1	3.15273	1.8926	0.440727	8.64652	5.52631	19.2453
OALVG00000000190.2	1.1664	1.70649	7.97703	1.63051	2.34556	0.864773
OALVG00000000190.3	0	0	9.80965	0	0	0
OALVG00000000191.1	0.864467	120.688	51.9837	8.7742	67.3628	137.647
OALVG00000000192.1	0.0972271	0.600813	0.34919	0.160438	0.212233	0.254052
OALVG00000000193.1	0	0.0324104	0.0261329	0	0.125153	0
OALVG00000000194.1	65.3678	54.8687	75.5578	122.262	252.994	113.726
OALVG00000000195.1	1.11474	1.25589	2.86132	3.36121	1.75609	2.12959
OALVG00000000196.1	99.1834	56.0644	49.2605	202.062	22.0697	77.3735
OALVG00000000196.2	71.9237	112.846	259.391	173.891	150.048	88.0652
OALVG00000000196.3	5.19153	4.91361	3.62845	5.33114	14.1232	3.76335
OALVG00000000196.4	23.142	29.0301	62.7171	64.234	13.7846	26.8732
OALVG00000000196.5	47.0367	30.4649	7.18637	92.2199	15.1999	34.8367
OALVG00000000196.6	49.1133	79.535	44.7125	87.2739	101.267	70.2084
OALVG00000000197.1	18.7931	24.2129	44.5613	42.3521	58.3687	30.846
OALVG00000000198.1	4.52076	4.78963	16.3542	5.61069	6.27309	2.68116
OALVG00000000199.1	30.7779	28.6546	17.7	62.1547	33.9973	35.0181
OALVG00000000200.1	5.67053	5.11323	1.90539	12.1986	4.47729	6.98647
OALVG00000000201.1	1.52942	1.05452	0.993968	2.07546	2.14217	1.21545
OALVG00000000202.1	0.362951	0.309638	3.00428	0.698244	0.609054	0.536473
OALVG00000000203.1	4.9814	3.64466	6.67141	10.3225	2.01515	6.68175
OALVG00000000204.1	0.133429	0	0.0166961	0.0215496	0.00531961	0.0127645
OALVG00000000205.1	0	0	0	0.194036	0.144962	0
OALVG00000000206.1	96.2266	93.4033	63.3235	363.814	75.279	203.167
OALVG00000000207.1	0.455403	0.460751	2.72853	2.12986	1.49295	1.28022
OALVG00000000208.1	2.08508	1.21379	25.0335	8.29013	4.72053	0.649069
OALVG00000000209.1	1.93726	18.0829	2.85501	2.80071	35.7597	5.28055
OALVG00000000210.1	0	2.92969	0.486214	0	9.17914	1.47364
OALVG00000000211.1	0.24305	0.450938	0.0525953	0.335551	1.68332	0.0801312
OALVG00000000212.1	1.62059	0.589112	0.668371	6.23956	1.27437	0.996278
OALVG00000000213.1	0.0719447	0.102146	0	0.3959	0.0327693	0
OALVG00000000214.1	0.101746	3.24971	0.0217905	0	15.5797	0.19966
OALVG00000000215.1	0	0	0	0	0.0233318	0
OALVG00000000216.1	0	0	0	0	0	0
OALVG00000000217.1	0	0.260359	0.0531564	0	1.19095	0
OALVG00000000218.1	11.1853	938.593	19.4412	0	1601.85	103.174
OALVG00000000219.1	0.50632	0.185518	0.081113	1.69718	0.560543	0.227284
OALVG00000000220.1	0.0449204	0	0	0	0	0
OALVG00000000221.1	3.05228	2.96484	6.04434	9.01367	3.7207	6.014
OALVG00000000222.1	0	0	0	0	0	0.0732242
OALVG00000000223.1	0.018011	0	0.0615809	0	0.0491182	0.047046
OALVG00000000224.1	3.02733	4.72276	9.04951	9.87231	3.94324	4.46447
OALVG00000000225.1	7.74781	11.2776	20.752	14.8235	9.95628	9.06005
OALVG00000000226.1	7.81579	9.05386	7.7346	13.1807	12.3335	7.74211
OALVG00000000227.1	1.07299	0.163192	4.66177	4.00764	0.38422	0.133691
OALVG00000000228.1	2.08819	0.259074	7.95131	10.6407	0.334176	0.365049
OALVG00000000229.1	0.579891	0.234225	0.429728	4.3809	0.752738	0.487811
OALVG00000000230.1	4.86033	5.62387	6.95319	21.7034	3.82823	11.5046
OALVG00000000231.1	9.53135	9.85687	17.4421	19.6966	19.3751	10.891
OALVG00000000232.1	146.512	259.177	208.152	596.168	300.149	364.797
OALVG00000000233.1	0	0	0	0	0	0
OALVG00000000234.1	0.262816	1.50259	1.18442	2.80485	3.60248	3.22898
OALVG00000000235.1	0	0	0.187629	1.19208	5.23252	1.41966
OALVG00000000236.1	0	0.852829	0.763468	0.116413	0.755398	0.443756
OALVG00000000237.1	0.0638448	0.136013	0.546232	0.117079	0.581078	0
OALVG00000000238.1	0.338453	0.143931	0.245592	0	0.321863	0
OALVG00000000239.1	2.01158	0.88523	0.852651	2.44716	1.65787	0.936061
OALVG00000000240.1	5.81225	3.71185	11.1025	9.10177	3.59915	5.98942
OALVG00000000241.1	0.137334	0.0182951	0.0146701	0.141606	0.117003	0
OALVG00000000242.1	1.52743	0.558801	1.56062	1.99202	0.871694	0.697116
OALVG00000000243.1	21.3053	38.1708	2.4591	45.5542	45.1023	13.9521
OALVG00000000243.2	15.7388	6.27497	10.8494	37.0096	6.23602	19.0032
OALVG00000000244.1	3.17048	1.14163	111.215	7.93485	3.41824	2.81672
OALVG00000000245.1	0.26782	0	0	0	0	0
OALVG00000000246.1	1.43745	0.893867	1.68799	2.84022	1.50918	1.1725
OALVG00000000247.1	3.26423	2.64691	4.90391	4.6989	3.53581	2.23356
OALVG00000000248.1	5.05876	4.76031	5.0745	21.2129	4.24317	7.20166
OALVG00000000249.1	0.0998107	0.00665712	38.8006	0.0342691	0.271017	0.105617
OALVG00000000250.1	27.5201	11.5632	1.11202	153.098	15.5354	7.71858
OALVG00000000251.1	8.45028	2.72995	330.865	16.3429	3.34459	5.64607
OALVG00000000252.1	1.61701	0.292969	48.8717	13.1814	0.798186	1.10523
OALVG00000000253.1	0.750923	0.28043	45.8209	1.27896	0.509986	0.714141
OALVG00000000254.1	0.124085	0.00758849	0.0996805	0.236247	0	0
OALVG00000000255.1	0.00897815	0	0	0	0	0
OALVG00000000256.1	0	0	0	0	0	0
OALVG00000000257.1	0.841946	0.127527	12.9034	0	0	0
OALVG00000000258.1	0	0	3.15557	1.57667	1.62565	0.807093
OALVG00000000259.1	1.81403	0.288033	0.299579	8.43107	4.46683	0.792351
OALVG00000000260.1	226.568	59.6065	96.4337	420.96	40.1046	104.307
OALVG00000000261.1	0.31545	0.210102	0.56201	0.690282	0.334411	0.213314
OALVG00000000262.1	1.30191	1.77611	0.874305	0	15.2451	0.441321
OALVG00000000263.1	1.48116	1.25812	0.650359	2.58996	4.06191	0.994283
OALVG00000000264.1	4.60602	2.03467	14.8547	8.49179	1.60435	1.95157
OALVG00000000265.1	6.60687	10.0667	1.9487	11.2291	15.1252	12.2355
OALVG00000000266.1	0.0858274	0	0.100721	0.134822	0.0586387	0.0489476
OALVG00000000267.1	0.0597747	0.0405971	12.0614	0.0447742	0.036877	0.332562
OALVG00000000268.1	0.0653376	0	19.9938	0	0	0.214056
OALVG00000000269.1	1.96704	3.11058	1.15416	4.25609	5.36385	3.66531
OALVG00000000270.1	1.43326	0.153017	1.33231	0.438681	2.54781	0.690643
OALVG00000000270.2	0.622841	0.911426	0	2.71429	2.45864	1.26297
OALVG00000000271.1	7.91065	8.54366	16.3436	47.4572	38.1803	17.6846
OALVG00000000272.1	1.17869	1.01648	2.03856	3.0576	1.68898	1.1086
OALVG00000000273.1	37.898	25.4643	178.181	98.6872	58.0545	55.6472
OALVG00000000274.1	25.6146	14.2179	132.352	58.3675	53.8665	40.1196
OALVG00000000275.1	1.46151	0.523268	1.51671	4.94266	1.4174	0.75943
OALVG00000000276.1	7.08115	14.0547	15.5729	4.31411	16.2819	12.7236
OALVG00000000277.1	0.15227	0.036063	0	0	0.0230607	0.022091
OALVG00000000278.1	2.34931	6.69573	6.55764	3.51434	7.31309	4.41677
OALVG00000000279.1	0	0	0	1.68074	0	1.64508
OALVG00000000280.1	0.341528	0.286105	0.763867	0.416867	0.418368	0.685482
OALVG00000000281.1	18.8964	51.0753	21.4096	43.2583	19.7981	24.7634
OALVG00000000282.1	0	2.86786	0.464828	1.8882	3.00059	0.711914
OALVG00000000282.2	0.60657	0	0.737395	1.21125	0.109937	0
OALVG00000000282.3	4.77831	0.389456	1.82849	4.4503	1.04878	2.76612
OALVG00000000282.4	0	0	0	0	0	0
OALVG00000000282.5	0.266686	0.237579	0.279216	0.598356	0.319843	0
OALVG00000000282.6	0	0	0	0	0	0
OALVG00000000282.7	0.887902	0.139007	0.065317	1.48132	1.45898	0.977828
OALVG00000000282.8	0.690188	0.250101	0.385542	0	0	0
OALVG00000000283.1	1.71136	1.996	5.35191	4.60103	6.31478	1.86336
OALVG00000000284.1	2737.72	3898.82	2228.15	6626.28	5744.77	5059.19
OALVG00000000285.1	0.585039	6.52584	7.81019	1.61008	6.04842	13.7766
OALVG00000000286.1	0.0865948	0.0954669	0.256028	0.0989774	0.42497	0.271386
OALVG00000000287.1	0.153284	0.163858	0.275303	0.281238	0.491633	0.300804
OALVG00000000288.1	0.727396	0.458241	0.602418	2.42495	0.779112	1.49262
OALVG00000000289.1	7.72068	0.484709	76.3595	33.1537	1.8525	3.08197
OALVG00000000289.2	12.5997	0	0.608443	66.8175	0.154375	0.333185
OALVG00000000290.1	6.96062	4.34685	15.312	10.4518	4.48094	9.751
OALVG00000000291.1	2.84425	0.636069	0.225064	4.65274	3.58905	5.15923
OALVG00000000292.1	11.6061	1.31252	13.3851	26.0681	8.93545	11.9086
OALVG00000000293.1	3.59326	2.75715	5.51602	5.21407	3.8112	3.86488
OALVG00000000294.1	1.78615	1.10669	3.10273	2.71379	1.51792	1.38557
OALVG00000000295.1	1.13086	0.664772	0.933701	2.30328	0.795862	0.840121
OALVG00000000295.2	0.0160589	0	0.107576	0.0503321	0	0
OALVG00000000296.1	0.162336	0	0.349193	0.55919	0.278965	0.0532721
OALVG00000000297.1	2.208	0.732858	5.03333	4.18488	2.66132	1.14868
OALVG00000000298.1	0	0	0	0	0.0455916	0
OALVG00000000299.1	0	0	0	0	0.0312256	0
OALVG00000000300.1	0	0	0	0	0	0
OALVG00000000301.1	0.159264	0.168731	0	0	0	0
OALVG00000000302.1	0.0226972	0	0	0	0	0
OALVG00000000303.1	0.0193811	0	0	0	0.185085	0
OALVG00000000304.1	0	0	0	0	0	0
OALVG00000000305.1	0.973307	0.386703	0.214566	0	1.55737	0
OALVG00000000306.1	0.708816	0.582519	0.10393	0.167104	1.57534	0
OALVG00000000307.1	0	0.0140928	12.7828	0	0.0899532	0.0689696
OALVG00000000308.1	0.0291407	0	7.40641	0.0200124	0	0
OALVG00000000309.1	0	0	0.156528	0	0.0624511	0.149447
OALVG00000000310.1	1.94059	0	0	5.43582	0	0.42665
OALVG00000000311.1	0.0705265	0	0.0150693	0	0	1.19732
OALVG00000000312.1	0	0	0	0	0	0
OALVG00000000313.1	0	0	0.144098	0	0	0
